#SampleID	faith_pd
101-1001.1	19.08236536944167
101-1001.2	19.24631786667805
101-1001.4	15.40739564108566
101-1002.2	21.12830815811253
101-1002.4	13.19931673455864
101-1002.7	19.23897421082685
101-1003.1	44.49540461494995
101-1003.2	41.39816354685676
101-1003.4	21.74807335208241
101-1003.6	26.73008571485295
110-1002.6	26.85995959942795
110-1003.1	28.04530962804616
110-1003.2	26.60716151447118
110-1003.3	15.56661304208421
110-1003.6	32.22537821167807
110-1004.1	18.64166435277186
110-1004.7	26.58910096676107
110-1005.3	17.14341836538244
110-1005.4	18.01122046778022
110-1005.6	31.71654507609201
110-1005.7	36.43616779594989
114-1002.3	13.36783554965926
114-1002.5	16.08847531011553
114-1002.6	30.19860795536131
114-1003.3	16.14320025885112
114-1004.2	12.12202140238443
114-1004.6	14.51182728336757
114-1005.2	9.787499323218242
114-1005.5	18.4437285886155
116-1001.4	14.29543528357317
116-1001.7	29.09950583881315
116-1001.U	14.29749784580306
116-1002.2	19.20453060195605
116-1002.4	10.64143828058997
116-1002.6	16.61494798391966
116-1003.1	16.5088827124959
116-1003.2	13.43721267601239
116-1003.3	8.046758130878345
116-1003.6	12.84095685214868
116-1003.7	40.32696589825961
116-1004.2	21.1188490620133
116-1004.4	18.64913663827338
116-1004.5	19.19497950780914
116-1004.6	23.39993239339678
116-1006.1	12.60254312018039
116-1006.2	12.43785398172215
116-1006.4	10.66059525810113
116-1008.1	11.10139710395208
116-1009.2	15.26617024333268
116-1010.5	24.17004365555012
116-1011.2	29.18899526104641
116-1011.4	20.87837373604663
116-1012.1	25.44326795012049
116-1012.2	25.19480647590893
116-1012.4	18.57953556795405
116-1012.5	23.66697106676455
117-1945.7	29.30021114849867
120-2201.2	33.3430809503733
120-2201.5	25.84760320615308
120-2201.6	37.55397971754091
120-2201.7	44.39179122438636
120-2203.2	16.33636920845472
120-2203.4	13.41532920596291
120-2203.5	14.1342412055176
120-2203.6	16.67294514192067
120-2203.7	14.97200255479648
120-2205.2	21.11511099179281
120-2205.4	15.43066492213632
120-2205.5	29.11536830380547
120-2205.U	24.82445392500412
122-1001.1	42.1668341886365
122-1001.4	28.71800322508093
122-1001.5	28.59058606598668
122-1001.6	34.85928365126153
122-1001.7	39.69345256826295
122-1002.2	55.80119261466986
122-1002.6	53.07558924742524
122-1003.1	30.68499810931132
122-1003.2	28.92472220719142
122-1003.3	22.45764442448355
122-1003.5	21.25988277027596
123-1001.5	22.15456207808115
128-1001.1	27.61864757398493
128-1001.U	27.78244977763836
128-1002.1	18.73128290652102
128-1002.2	16.84287417788484
128-1002.3	15.88811764610735
128-1002.6	25.44153730381385
128-1002.7	26.10592661414173
130-1001.3	11.73585571358819
130-1001.5	18.61788321376719
130-1001.6	24.57574814001847
130-1001.7	23.17091118289912
131-1001.2	12.36749591647966
131-1001.3	10.98010547388151
139-1001.3	8.896025908019794
139-1001.4	7.805349244352271
139-1001.U	12.93876664774666
139-1002.2	12.65834231083346
139-1002.3	11.10137352222506
139-1002.7	14.25884214792929
140-1002.3	20.1618933234688
140-1002.5	17.0864159426525
140-1003.3	12.76653874402287
146-1001.2	36.51429169679241
146-1001.3	30.81235563680484
146-1001.4	23.68070516580907
146-1001.5	23.45569487590936
146-1001.6	36.45455471218915
146-1002.1	44.6232782927847
146-1002.2	47.33676451358917
146-1002.7	34.83078588988201
146-1003.4	24.66106295839089
146-1003.5	24.87265341614941
146-1004.1	36.78420202261909
146-1004.2	35.55122499125135
146-1004.4	34.9577465404703
146-1004.6	39.35407853631097
146-1004.7	43.15615387988301
101-1002.6	17.3203237348471
101-1003.5	29.8787131781388
110-1004.2	19.83733866304984
114-1003.2	19.94260180165659
116-1010.2	30.48374697866615
117-1945.5	23.5284703113087
101-1001.3	14.98222194115431
101-1001.5	13.57718800697018
101-1001.6	17.98812954279858
101-1001.7	18.61389980571268
101-1002.3	13.36180247092062
101-1002.5	13.51919348531927
101-1002.U	19.37017130703983
101-1003.3	37.11792226880455
101-1003.7	23.5212898270919
103-1001.1	25.60875616623402
110-1002.1	16.54013649139622
110-1002.2	24.25173671536943
110-1002.3	14.08238523212083
110-1002.4	16.50184234269773
110-1002.5	16.45384734096461
110-1002.7	30.09006216923873
110-1003.4	21.41683325968535
110-1003.5	21.99028056147796
110-1003.7	32.85766252515534
110-1004.3	14.49636646068194
110-1004.4	11.25837345122454
110-1004.5	13.22891591963526
110-1004.6	23.83765888310946
110-1005.2	23.92255636933726
110-1005.5	23.48623696909236
114-1002.2	18.80264625240859
