"term","estimate","std.error","df","statistic","p.value","immune_product"
"visitFUV4",-2.97510229000726,0.703351288198231,190.1886551698,-4.22989527413613,3.63092526788388e-05,"IL-13"
"visitScreening",-0.636121498829529,0.755523311883847,191.821882337777,-0.841961444238434,0.40085800874239,"IL-13"
"treatment_groupCRS3123_400mg_po_bid:visitD4",-0.116064204957876,1.04780168682267,193.320263252667,-0.11076924805287,0.911914244641079,"IL-13"
"treatment_groupVancomycin_125mg_po_qid:visitD4",1.57221312384193,0.979339908412715,190.729412262013,1.60538043056994,0.110064547527854,"IL-13"
"treatment_groupCRS3123_400mg_po_bid:visitFUV1",0.417346514506834,0.96122601302765,189.523698671618,0.434181460811994,0.664650552879959,"IL-13"
"treatment_groupVancomycin_125mg_po_qid:visitFUV1",2.11248773458146,0.947716824479342,185.359404604758,2.2290284186334,0.0270132508785875,"IL-13"
"treatment_groupCRS3123_400mg_po_bid:visitFUV2",-0.553415947905285,0.961226013027651,189.523698661783,-0.575739670384228,0.565474146582426,"IL-13"
"treatment_groupVancomycin_125mg_po_qid:visitFUV2",1.39287107342577,0.959967682883051,185.939711016602,1.45095621265352,0.148477002746075,"IL-13"
"treatment_groupCRS3123_400mg_po_bid:visitFUV3",0.322652041922294,1.05232381536276,192.709553967401,0.306609084781635,0.759471965477404,"IL-13"
"treatment_groupVancomycin_125mg_po_qid:visitFUV3",2.18155054777262,0.973375977258696,187.794920859267,2.24122086299735,0.0261826488549683,"IL-13"
"treatment_groupCRS3123_400mg_po_bid:visitFUV4",0.6214649104378,1.03069094548231,192.686975082359,0.602959512899366,0.547244641031158,"IL-13"
"treatment_groupVancomycin_125mg_po_qid:visitFUV4",2.1235884486352,0.987850169247114,188.53910734924,2.14970702515918,0.0328525469740081,"IL-13"
"treatment_groupCRS3123_400mg_po_bid:visitScreening",0.839651650908956,1.08508470580361,195.480431629242,0.77381207791249,0.439976735225097,"IL-13"
"treatment_groupVancomycin_125mg_po_qid:visitScreening",0.4941508040411,1.02274166878508,188.109847733502,0.483162873991539,0.629541964955981,"IL-13"
"(Intercept)",2278.11672522403,359.097176466604,169.901331775781,6.34401180103929,1.9574122286074e-09,"IL-1b"
"treatment_groupCRS3123_400mg_po_bid",252.192337696266,538.940982727439,188.248410154172,0.467940545957345,0.640368403187905,"IL-1b"
"treatment_groupVancomycin_125mg_po_qid",-1084.04903882093,517.730617198016,172.534895925966,-2.0938476551529,0.0377351731528292,"IL-1b"
"visitD4",-1616.06697271898,480.764716259386,182.262680518025,-3.36145086788579,0.000944637007199593,"IL-1b"
"visitFUV1",-2377.3776209694,454.46796749871,178.241260181284,-5.23112252345078,4.69183084506323e-07,"IL-1b"
"visitFUV2",-2033.10077019903,454.46796749871,178.241260156738,-4.4735843130788,1.36719075076311e-05,"IL-1b"
"visitFUV3",-2327.10328806034,467.1309645023,181.487159600188,-4.98169349689702,1.46184762340582e-06,"IL-1b"
"visitFUV4",-2248.03824400588,481.118069504341,183.120933631754,-4.67252923242285,5.7480151821063e-06,"IL-1b"
"visitScreening",-588.534138052158,516.778723718071,185.052268104856,-1.13885133238038,0.256237300128424,"IL-1b"
