Sample,MetaG_ID,forward_reads,reverse_reads
130-1001.2,LOZ_62,LOZ_62_R1_001.fastq.gz,LOZ_62_R2_001.fastq.gz
120-2201.4,LOZ_63,LOZ_63_R1_001.fastq.gz,LOZ_63_R2_001.fastq.gz
123-1001.1,LOZ_64,LOZ_64_R1_001.fastq.gz,LOZ_64_R2_001.fastq.gz
110-1003.4,LOZ_65,LOZ_65_R1_001.fastq.gz,LOZ_65_R2_001.fastq.gz
120-2204.4,LOZ_66,LOZ_66_R1_001.fastq.gz,LOZ_66_R2_001.fastq.gz
146-1003.2,LOZ_67,LOZ_67_R1_001.fastq.gz,LOZ_67_R2_001.fastq.gz
114-1004.4,LOZ_68,LOZ_68_R1_001.fastq.gz,LOZ_68_R2_001.fastq.gz
116-1007.2,LOZ_69,LOZ_69_R1_001.fastq.gz,LOZ_69_R2_001.fastq.gz
114-1002.4,LOZ_70,LOZ_70_R1_001.fastq.gz,LOZ_70_R2_001.fastq.gz
116-1001.2,LOZ_71,LOZ_71_R1_001.fastq.gz,LOZ_71_R2_001.fastq.gz
122-1002.4,LOZ_72,LOZ_72_R1_001.fastq.gz,LOZ_72_R2_001.fastq.gz
116-1010.2,LOZ_73,LOZ_73_R1_001.fastq.gz,LOZ_73_R2_001.fastq.gz
110-1004.2,LOZ_74,LOZ_74_R1_001.fastq.gz,LOZ_74_R2_001.fastq.gz
